Programme,Country,Region,Year,Quarter,Period,Budget_USD,Expenditure_USD,Budget_Utilization_Pct,Target_Output,Actual_Output,Output_Achievement_Pct,Outcome_Score_1to5,Community_Feedback_Score,Complaints_Received,Complaints_Resolved
Youth & Volunteerism,Nigeria,West Africa,2025,Q4,2025-Q4,271236,269240,99.3,6020,4281,71.1,4.3,3.8,16,13
Youth & Volunteerism,Ghana,West Africa,2021,Q1,2021-Q1,357574,314511,88.0,5385,4854,90.1,4.6,4.9,9,3
Youth & Volunteerism,Ghana,West Africa,2021,Q2,2021-Q2,161162,110297,68.4,25827,19446,75.3,3.8,4.4,8,11
Youth & Volunteerism,Ghana,West Africa,2021,Q3,2021-Q3,393075,274754,69.9,29398,18446,62.7,3.3,3.9,7,10
Youth & Volunteerism,Ghana,West Africa,2021,Q4,2021-Q4,489293,397147,81.2,5116,4820,94.2,3.6,4.0,5,1
Youth & Volunteerism,Ghana,West Africa,2022,Q1,2022-Q1,20280,14590,71.9,5416,4891,90.3,4.5,3.3,21,10
Youth & Volunteerism,Ghana,West Africa,2022,Q2,2022-Q2,131137,84376,64.3,20698,13516,65.3,4.4,3.6,15,8
Youth & Volunteerism,Ghana,West Africa,2022,Q3,2022-Q3,496306,486677,98.1,41749,29409,70.4,3.2,4.0,3,13
Youth & Volunteerism,Ghana,West Africa,2022,Q4,2022-Q4,116909,73846,63.2,18532,19089,103.0,2.8,3.4,15,11
Youth & Volunteerism,Ghana,West Africa,2023,Q1,2023-Q1,195260,177665,91.0,21946,17701,80.7,4.2,3.8,3,3
Youth & Volunteerism,Ghana,West Africa,2023,Q2,2023-Q2,370721,298186,80.4,2895,2464,85.1,3.0,4.1,21,17
Youth & Volunteerism,Ghana,West Africa,2023,Q3,2023-Q3,423944,420408,99.2,10539,8656,82.1,3.1,3.5,10,11
Youth & Volunteerism,Ghana,West Africa,2023,Q4,2023-Q4,408650,307093,75.1,25683,20378,79.3,4.5,4.8,23,18
Youth & Volunteerism,Ghana,West Africa,2024,Q1,2024-Q1,297276,202411,68.1,41630,48699,117.0,3.8,3.9,11,7
Youth & Volunteerism,Ghana,West Africa,2024,Q2,2024-Q2,360917,244265,67.7,20084,19086,95.0,3.7,3.8,6,18
Youth & Volunteerism,Ghana,West Africa,2024,Q3,2024-Q3,221352,203251,91.8,7716,5955,77.2,2.7,4.8,3,4
Youth & Volunteerism,Ghana,West Africa,2024,Q4,2024-Q4,350070,285028,81.4,41441,37557,90.6,4.6,3.1,3,1
Youth & Volunteerism,Ghana,West Africa,2025,Q1,2025-Q1,327527,265495,81.1,44883,45729,101.9,2.7,3.5,6,6
Youth & Volunteerism,Ghana,West Africa,2025,Q2,2025-Q2,389444,296995,76.3,31213,27107,86.8,4.7,4.9,3,2
Youth & Volunteerism,Ghana,West Africa,2025,Q3,2025-Q3,306564,305671,99.7,42567,42754,100.4,4.7,3.4,10,9
Youth & Volunteerism,Ghana,West Africa,2025,Q4,2025-Q4,400292,339393,84.8,33077,25775,77.9,4.8,3.9,24,6
Youth & Volunteerism,Senegal,West Africa,2021,Q1,2021-Q1,299737,192256,64.1,49236,25672,52.1,3.9,3.9,4,1
Youth & Volunteerism,Senegal,West Africa,2021,Q2,2021-Q2,87020,52815,60.7,14563,10753,73.8,5.0,4.1,13,17
Youth & Volunteerism,Senegal,West Africa,2021,Q3,2021-Q3,393084,310321,78.9,18549,17197,92.7,3.2,4.6,24,17
Youth & Volunteerism,Senegal,West Africa,2021,Q4,2021-Q4,202105,143214,70.9,25986,20065,77.2,2.6,4.0,14,20
Youth & Volunteerism,Senegal,West Africa,2022,Q1,2022-Q1,396085,268812,67.9,9695,9258,95.5,4.8,4.6,13,2
Youth & Volunteerism,Senegal,West Africa,2022,Q2,2022-Q2,273137,183632,67.2,29459,30689,104.2,4.5,4.3,16,16
Youth & Volunteerism,Senegal,West Africa,2022,Q3,2022-Q3,434651,377094,86.8,3433,3056,89.0,3.7,4.3,5,19
Youth & Volunteerism,Senegal,West Africa,2022,Q4,2022-Q4,163732,117753,71.9,47659,49165,103.2,3.0,4.2,4,9
Youth & Volunteerism,Senegal,West Africa,2023,Q1,2023-Q1,43826,30395,69.4,39104,23795,60.9,4.4,3.8,1,6
Youth & Volunteerism,Senegal,West Africa,2023,Q2,2023-Q2,408348,324392,79.4,28050,29165,104.0,3.5,4.3,15,17
Youth & Volunteerism,Senegal,West Africa,2023,Q3,2023-Q3,476264,353604,74.2,35651,39282,110.2,4.4,4.4,2,5
Youth & Volunteerism,Senegal,West Africa,2023,Q4,2023-Q4,249504,238593,95.6,35376,17630,49.8,4.3,5.0,12,17
Youth & Volunteerism,Senegal,West Africa,2024,Q1,2024-Q1,428615,316918,73.9,27575,25573,92.7,4.2,3.7,12,19
Youth & Volunteerism,Senegal,West Africa,2024,Q2,2024-Q2,162341,148418,91.4,15561,15256,98.0,4.8,3.4,5,0
Youth & Volunteerism,Senegal,West Africa,2024,Q3,2024-Q3,103887,88324,85.0,39479,24357,61.7,3.5,4.3,6,18
Youth & Volunteerism,Senegal,West Africa,2024,Q4,2024-Q4,385282,242895,63.0,2580,2146,83.2,4.0,4.9,25,16
Youth & Volunteerism,Senegal,West Africa,2025,Q1,2025-Q1,258782,243292,94.0,35018,25295,72.2,2.5,3.3,22,16
Youth & Volunteerism,Senegal,West Africa,2025,Q2,2025-Q2,155703,145624,93.5,21884,20245,92.5,2.6,3.5,7,9
Youth & Volunteerism,Senegal,West Africa,2025,Q3,2025-Q3,391329,353339,90.3,19597,20735,105.8,4.4,3.1,17,3
Youth & Volunteerism,Senegal,West Africa,2025,Q4,2025-Q4,109710,104992,95.7,16675,15230,91.3,3.1,4.1,1,17
Youth & Volunteerism,Ivory Coast,West Africa,2021,Q1,2021-Q1,144894,124277,85.8,21126,15742,74.5,4.8,4.2,1,20
Youth & Volunteerism,Ivory Coast,West Africa,2021,Q2,2021-Q2,97667,85915,88.0,20203,17115,84.7,3.8,4.7,4,8
Youth & Volunteerism,Ivory Coast,West Africa,2021,Q3,2021-Q3,477904,293076,61.3,5376,4386,81.6,2.7,4.4,20,7
Youth & Volunteerism,Ivory Coast,West Africa,2021,Q4,2021-Q4,451704,342150,75.7,15760,9306,59.0,3.2,3.0,17,3
Youth & Volunteerism,Ivory Coast,West Africa,2022,Q1,2022-Q1,20733,18409,88.8,44509,35439,79.6,3.9,3.5,11,20
Youth & Volunteerism,Ivory Coast,West Africa,2022,Q2,2022-Q2,337277,286307,84.9,26190,26739,102.1,2.5,4.0,10,2
Youth & Volunteerism,Ivory Coast,West Africa,2022,Q3,2022-Q3,389865,334380,85.8,37997,31133,81.9,4.4,4.2,8,4
Youth & Volunteerism,Ivory Coast,West Africa,2022,Q4,2022-Q4,234089,227254,97.1,42074,40305,95.8,3.5,3.6,9,10
Youth & Volunteerism,Ivory Coast,West Africa,2023,Q1,2023-Q1,50022,47763,95.5,43022,35833,83.3,3.5,3.4,0,11
Youth & Volunteerism,Ivory Coast,West Africa,2023,Q2,2023-Q2,134965,114687,85.0,49872,42307,84.8,4.2,4.0,8,5
Youth & Volunteerism,Ivory Coast,West Africa,2023,Q3,2023-Q3,154211,95026,61.6,3024,3011,99.6,4.3,4.7,17,18
Youth & Volunteerism,Ivory Coast,West Africa,2023,Q4,2023-Q4,75806,51563,68.0,49356,45235,91.7,4.7,3.6,23,12
Youth & Volunteerism,Ivory Coast,West Africa,2024,Q1,2024-Q1,362792,219620,60.5,18865,12653,67.1,3.1,3.9,20,20
Youth & Volunteerism,Ivory Coast,West Africa,2024,Q2,2024-Q2,336849,323082,95.9,38102,36343,95.4,2.9,4.7,6,14
Youth & Volunteerism,Ivory Coast,West Africa,2024,Q3,2024-Q3,135678,97216,71.7,23250,13079,56.3,4.5,4.1,8,6
Youth & Volunteerism,Ivory Coast,West Africa,2024,Q4,2024-Q4,324959,283942,87.4,43274,30100,69.6,4.1,3.3,25,12
Youth & Volunteerism,Ivory Coast,West Africa,2025,Q1,2025-Q1,101600,95292,93.8,31232,30497,97.6,3.2,3.6,7,13
Youth & Volunteerism,Ivory Coast,West Africa,2025,Q2,2025-Q2,213273,154409,72.4,11721,8381,71.5,4.4,4.1,15,2
Youth & Volunteerism,Ivory Coast,West Africa,2025,Q3,2025-Q3,280026,266915,95.3,13895,14107,101.5,4.4,3.3,14,5
Youth & Volunteerism,Ivory Coast,West Africa,2025,Q4,2025-Q4,447608,340287,76.0,13541,9264,68.4,3.7,3.7,6,18
Youth & Volunteerism,Mali,West Africa,2021,Q1,2021-Q1,277172,202015,72.9,49807,34572,69.4,4.3,4.9,5,20
Youth & Volunteerism,Mali,West Africa,2021,Q2,2021-Q2,167872,138675,82.6,3379,3217,95.2,4.0,3.1,9,5
Youth & Volunteerism,Mali,West Africa,2021,Q3,2021-Q3,484127,457882,94.6,13647,13241,97.0,4.9,4.2,12,19
Youth & Volunteerism,Mali,West Africa,2021,Q4,2021-Q4,118486,105438,89.0,6551,4099,62.6,3.6,3.1,4,2
Youth & Volunteerism,Mali,West Africa,2022,Q1,2022-Q1,243553,223834,91.9,18072,15500,85.8,4.0,3.9,14,20
Youth & Volunteerism,Mali,West Africa,2022,Q2,2022-Q2,231028,170107,73.6,8568,5704,66.6,3.7,3.6,23,16
Youth & Volunteerism,Mali,West Africa,2022,Q3,2022-Q3,91980,71307,77.5,49629,49013,98.8,3.1,5.0,24,0
Youth & Volunteerism,Mali,West Africa,2022,Q4,2022-Q4,336299,269156,80.0,8535,4752,55.7,3.0,4.0,12,12
Youth & Volunteerism,Mali,West Africa,2023,Q1,2023-Q1,30861,29211,94.7,9211,6091,66.1,4.5,3.7,0,20
Youth & Volunteerism,Mali,West Africa,2023,Q2,2023-Q2,42932,30804,71.8,10662,9354,87.7,4.6,4.3,7,2
Youth & Volunteerism,Mali,West Africa,2023,Q3,2023-Q3,160329,153804,95.9,11347,11971,105.5,4.6,3.1,20,19
Youth & Volunteerism,Mali,West Africa,2023,Q4,2023-Q4,27076,24650,91.0,2615,2511,96.0,4.0,3.1,25,3
Youth & Volunteerism,Mali,West Africa,2024,Q1,2024-Q1,304358,244530,80.3,24176,21277,88.0,3.9,4.9,22,2
Youth & Volunteerism,Mali,West Africa,2024,Q2,2024-Q2,126074,84879,67.3,11124,8862,79.7,4.0,3.4,15,18
Youth & Volunteerism,Mali,West Africa,2024,Q3,2024-Q3,487869,412554,84.6,31119,30940,99.4,4.5,4.7,5,9
Youth & Volunteerism,Mali,West Africa,2024,Q4,2024-Q4,193935,122355,63.1,33385,33200,99.4,3.4,4.4,4,7
Youth & Volunteerism,Mali,West Africa,2025,Q1,2025-Q1,49294,39407,79.9,37620,33271,88.4,3.5,3.8,22,8
Youth & Volunteerism,Mali,West Africa,2025,Q2,2025-Q2,348983,322425,92.4,37626,24386,64.8,3.5,3.1,3,0
Youth & Volunteerism,Mali,West Africa,2025,Q3,2025-Q3,452498,282008,62.3,4918,3425,69.6,4.8,4.3,3,17
Youth & Volunteerism,Mali,West Africa,2025,Q4,2025-Q4,175576,164643,93.8,8721,9272,106.3,4.4,3.8,16,13
Youth & Volunteerism,DRC,Central Africa,2021,Q1,2021-Q1,94362,74685,79.1,2079,1583,76.1,4.4,4.8,7,0
Youth & Volunteerism,DRC,Central Africa,2021,Q2,2021-Q2,138843,123540,89.0,29992,21498,71.7,3.7,3.2,12,4
Youth & Volunteerism,DRC,Central Africa,2021,Q3,2021-Q3,205236,127816,62.3,44949,33886,75.4,4.0,3.0,9,7
Youth & Volunteerism,DRC,Central Africa,2021,Q4,2021-Q4,480843,478866,99.6,46853,24182,51.6,3.4,4.7,12,3
Youth & Volunteerism,DRC,Central Africa,2022,Q1,2022-Q1,277855,226170,81.4,13112,11709,89.3,4.3,4.1,3,7
Youth & Volunteerism,DRC,Central Africa,2022,Q2,2022-Q2,73339,59098,80.6,20468,16302,79.6,2.7,4.3,11,2
Youth & Volunteerism,DRC,Central Africa,2022,Q3,2022-Q3,342802,330631,96.4,23870,19402,81.3,4.8,3.6,3,11
Youth & Volunteerism,DRC,Central Africa,2022,Q4,2022-Q4,64461,55538,86.2,4840,3804,78.6,3.8,4.2,19,4
Youth & Volunteerism,DRC,Central Africa,2023,Q1,2023-Q1,113358,86867,76.6,30090,24653,81.9,4.4,4.5,16,10
Youth & Volunteerism,DRC,Central Africa,2023,Q2,2023-Q2,334369,290329,86.8,13885,11613,83.6,4.1,3.5,21,13
Youth & Volunteerism,DRC,Central Africa,2023,Q3,2023-Q3,98758,60137,60.9,45730,38597,84.4,3.3,3.2,21,9
Youth & Volunteerism,DRC,Central Africa,2023,Q4,2023-Q4,347553,217251,62.5,20809,22018,105.8,3.4,4.6,11,3
Youth & Volunteerism,DRC,Central Africa,2024,Q1,2024-Q1,162130,156859,96.7,34718,29822,85.9,3.0,4.6,21,11
Youth & Volunteerism,DRC,Central Africa,2024,Q2,2024-Q2,159146,109092,68.5,48616,47860,98.4,3.2,3.5,25,2
Youth & Volunteerism,DRC,Central Africa,2024,Q3,2024-Q3,433587,349468,80.6,2142,1534,71.6,3.6,4.7,4,20
Youth & Volunteerism,DRC,Central Africa,2024,Q4,2024-Q4,96854,80216,82.8,22988,17957,78.1,4.7,3.4,4,12
Youth & Volunteerism,DRC,Central Africa,2025,Q1,2025-Q1,254197,169495,66.7,49273,33263,67.5,4.2,4.6,25,15
Youth & Volunteerism,DRC,Central Africa,2025,Q2,2025-Q2,447111,402633,90.1,6411,7760,121.0,4.9,3.8,3,18
Youth & Volunteerism,DRC,Central Africa,2025,Q3,2025-Q3,244108,166617,68.3,49625,34921,70.4,3.2,3.4,8,4
Youth & Volunteerism,DRC,Central Africa,2025,Q4,2025-Q4,67420,51146,75.9,23171,20138,86.9,2.8,3.1,4,5
Youth & Volunteerism,Cameroon,Central Africa,2021,Q1,2021-Q1,422409,364419,86.3,27232,29408,108.0,4.2,3.2,11,10
Youth & Volunteerism,Cameroon,Central Africa,2021,Q2,2021-Q2,279106,199960,71.6,29776,28932,97.2,2.8,4.7,15,13
Youth & Volunteerism,Cameroon,Central Africa,2021,Q3,2021-Q3,335486,301521,89.9,43720,33309,76.2,4.9,4.2,10,4
Youth & Volunteerism,Cameroon,Central Africa,2021,Q4,2021-Q4,440552,405511,92.0,44857,30694,68.4,3.2,3.4,7,12
Youth & Volunteerism,Cameroon,Central Africa,2022,Q1,2022-Q1,239498,218797,91.4,38001,38742,101.9,3.9,4.1,15,17
Youth & Volunteerism,Cameroon,Central Africa,2022,Q2,2022-Q2,299849,268148,89.4,34283,35109,102.4,3.2,3.7,17,17
Youth & Volunteerism,Cameroon,Central Africa,2022,Q3,2022-Q3,450652,427513,94.9,17080,15683,91.8,4.3,5.0,12,2
Youth & Volunteerism,Cameroon,Central Africa,2022,Q4,2022-Q4,324592,251272,77.4,48853,27765,56.8,3.6,4.7,13,16
Youth & Volunteerism,Cameroon,Central Africa,2023,Q1,2023-Q1,322973,297846,92.2,47449,38382,80.9,3.3,4.2,25,7
Youth & Volunteerism,Cameroon,Central Africa,2023,Q2,2023-Q2,388623,369382,95.0,7718,8552,110.8,4.7,3.2,7,11
Youth & Volunteerism,Cameroon,Central Africa,2023,Q3,2023-Q3,21502,16585,77.1,15322,13975,91.2,4.2,3.8,0,11
Youth & Volunteerism,Cameroon,Central Africa,2023,Q4,2023-Q4,312749,190909,61.0,33059,27948,84.5,3.9,3.2,4,3
Youth & Volunteerism,Cameroon,Central Africa,2024,Q1,2024-Q1,51235,47842,93.4,24894,20214,81.2,3.6,4.8,11,4
Youth & Volunteerism,Cameroon,Central Africa,2024,Q2,2024-Q2,174506,124838,71.5,32172,35157,109.3,3.1,4.9,4,17
Youth & Volunteerism,Cameroon,Central Africa,2024,Q3,2024-Q3,498650,460602,92.4,29595,23015,77.8,2.9,3.1,7,6
Youth & Volunteerism,Cameroon,Central Africa,2024,Q4,2024-Q4,454017,315458,69.5,16718,15482,92.6,4.4,3.5,1,4
Youth & Volunteerism,Cameroon,Central Africa,2025,Q1,2025-Q1,81465,72637,89.2,47598,36090,75.8,5.0,3.5,22,4
Youth & Volunteerism,Cameroon,Central Africa,2025,Q2,2025-Q2,217898,163542,75.1,3726,2356,63.2,3.3,3.2,22,13
Youth & Volunteerism,Cameroon,Central Africa,2025,Q3,2025-Q3,214869,171026,79.6,5544,5958,107.5,4.5,4.1,22,3
Youth & Volunteerism,Cameroon,Central Africa,2025,Q4,2025-Q4,367470,225214,61.3,40116,28487,71.0,4.0,3.1,2,15
Youth & Volunteerism,Chad,Central Africa,2021,Q1,2021-Q1,459058,388612,84.7,40923,28641,70.0,4.5,4.8,5,0
Youth & Volunteerism,Chad,Central Africa,2021,Q2,2021-Q2,97010,89757,92.5,25936,24429,94.2,3.3,4.2,4,2
Youth & Volunteerism,Chad,Central Africa,2021,Q3,2021-Q3,148474,143414,96.6,7050,7019,99.6,2.5,3.0,0,18
Youth & Volunteerism,Chad,Central Africa,2021,Q4,2021-Q4,455718,411916,90.4,29295,22510,76.8,4.4,4.6,4,5
Youth & Volunteerism,Chad,Central Africa,2022,Q1,2022-Q1,266292,258838,97.2,11182,8999,80.5,4.8,3.4,23,16
Youth & Volunteerism,Chad,Central Africa,2022,Q2,2022-Q2,386248,337152,87.3,21628,16989,78.6,3.8,3.2,15,13
Youth & Volunteerism,Chad,Central Africa,2022,Q3,2022-Q3,398828,284805,71.4,24107,24752,102.7,4.3,4.2,14,20
Youth & Volunteerism,Chad,Central Africa,2022,Q4,2022-Q4,384509,306997,79.8,2865,2464,86.0,3.2,3.2,9,3
Youth & Volunteerism,Chad,Central Africa,2023,Q1,2023-Q1,101729,77683,76.4,5932,3334,56.2,2.6,4.2,20,1
Youth & Volunteerism,Chad,Central Africa,2023,Q2,2023-Q2,336760,276100,82.0,13375,8175,61.1,2.7,4.9,16,5
Youth & Volunteerism,Chad,Central Africa,2023,Q3,2023-Q3,25697,16439,64.0,27977,20875,74.6,4.3,3.8,13,14
Youth & Volunteerism,Chad,Central Africa,2023,Q4,2023-Q4,310537,195130,62.8,48622,50738,104.4,4.4,3.1,8,18
Youth & Volunteerism,Chad,Central Africa,2024,Q1,2024-Q1,283125,274305,96.9,22056,18648,84.5,4.3,3.8,22,7
Youth & Volunteerism,Chad,Central Africa,2024,Q2,2024-Q2,242125,166314,68.7,12276,9234,75.2,4.4,4.6,8,2
Youth & Volunteerism,Chad,Central Africa,2024,Q3,2024-Q3,293416,284342,96.9,26743,23209,86.8,3.4,3.5,4,6
Youth & Volunteerism,Chad,Central Africa,2024,Q4,2024-Q4,229926,207028,90.0,42569,21122,49.6,3.3,3.9,1,7
Youth & Volunteerism,Chad,Central Africa,2025,Q1,2025-Q1,225673,171843,76.1,14038,12884,91.8,4.2,3.9,23,17
Youth & Volunteerism,Chad,Central Africa,2025,Q2,2025-Q2,337237,307452,91.2,7059,6243,88.4,4.1,3.1,22,14
Youth & Volunteerism,Chad,Central Africa,2025,Q3,2025-Q3,270303,172525,63.8,22525,18974,84.2,4.6,3.6,20,20
Youth & Volunteerism,Chad,Central Africa,2025,Q4,2025-Q4,232389,175143,75.4,26934,20697,76.8,4.8,4.7,5,1
Youth & Volunteerism,South Africa,Southern Africa,2021,Q1,2021-Q1,441181,382071,86.6,26345,20164,76.5,2.5,3.2,20,13
Youth & Volunteerism,South Africa,Southern Africa,2021,Q2,2021-Q2,122094,87546,71.7,19689,15721,79.8,3.9,3.1,3,3
Youth & Volunteerism,South Africa,Southern Africa,2021,Q3,2021-Q3,60794,39789,65.4,25770,23704,92.0,4.0,4.1,19,10
Youth & Volunteerism,South Africa,Southern Africa,2021,Q4,2021-Q4,34705,24300,70.0,17697,12055,68.1,3.4,3.2,9,5
Youth & Volunteerism,South Africa,Southern Africa,2022,Q1,2022-Q1,303937,209894,69.1,8977,8520,94.9,4.1,3.1,2,6
Youth & Volunteerism,South Africa,Southern Africa,2022,Q2,2022-Q2,333058,332626,99.9,2719,2406,88.5,2.7,4.4,24,9
Youth & Volunteerism,South Africa,Southern Africa,2022,Q3,2022-Q3,118431,83036,70.1,38155,41691,109.3,3.6,3.5,6,20
Youth & Volunteerism,South Africa,Southern Africa,2022,Q4,2022-Q4,36969,27127,73.4,17750,11898,67.0,3.4,4.9,8,2
Youth & Volunteerism,South Africa,Southern Africa,2023,Q1,2023-Q1,318908,293218,91.9,39014,24957,64.0,4.5,3.3,1,18
Youth & Volunteerism,South Africa,Southern Africa,2023,Q2,2023-Q2,434305,297144,68.4,33706,27671,82.1,3.4,4.8,1,1
Youth & Volunteerism,South Africa,Southern Africa,2023,Q3,2023-Q3,184930,120706,65.3,8108,6871,84.7,3.2,4.1,9,0
Youth & Volunteerism,South Africa,Southern Africa,2023,Q4,2023-Q4,206986,161584,78.1,20507,14174,69.1,3.6,3.2,12,16
Youth & Volunteerism,South Africa,Southern Africa,2024,Q1,2024-Q1,122175,80198,65.6,22609,17798,78.7,2.6,4.2,24,12
Youth & Volunteerism,South Africa,Southern Africa,2024,Q2,2024-Q2,400469,354872,88.6,25320,20431,80.7,3.4,4.4,4,3
Youth & Volunteerism,South Africa,Southern Africa,2024,Q3,2024-Q3,193706,171465,88.5,28691,25716,89.6,3.9,3.2,23,16
Youth & Volunteerism,South Africa,Southern Africa,2024,Q4,2024-Q4,72954,51748,70.9,34910,31707,90.8,3.2,4.1,25,4
Youth & Volunteerism,South Africa,Southern Africa,2025,Q1,2025-Q1,32417,22796,70.3,40481,35402,87.5,3.2,3.9,25,12
Youth & Volunteerism,South Africa,Southern Africa,2025,Q2,2025-Q2,270060,175827,65.1,40427,32526,80.5,4.5,4.1,1,9
Youth & Volunteerism,South Africa,Southern Africa,2025,Q3,2025-Q3,104527,100412,96.1,11931,11404,95.6,4.7,4.2,21,14
Youth & Volunteerism,South Africa,Southern Africa,2025,Q4,2025-Q4,61289,59668,97.4,43022,36521,84.9,3.3,3.7,2,7
Youth & Volunteerism,Mozambique,Southern Africa,2021,Q1,2021-Q1,483681,299007,61.8,16132,17568,108.9,4.4,3.3,25,20
Youth & Volunteerism,Mozambique,Southern Africa,2021,Q2,2021-Q2,93852,72985,77.8,49091,46443,94.6,2.9,4.3,5,16
Youth & Volunteerism,Mozambique,Southern Africa,2021,Q3,2021-Q3,290690,192779,66.3,49757,40883,82.2,3.2,4.7,19,20
Youth & Volunteerism,Mozambique,Southern Africa,2021,Q4,2021-Q4,294353,230592,78.3,24374,21754,89.3,2.6,4.0,14,4
Youth & Volunteerism,Mozambique,Southern Africa,2022,Q1,2022-Q1,197744,125333,63.4,21060,18032,85.6,3.1,4.1,11,19
Youth & Volunteerism,Mozambique,Southern Africa,2022,Q2,2022-Q2,468765,295672,63.1,30239,26741,88.4,4.5,4.9,1,12
Youth & Volunteerism,Mozambique,Southern Africa,2022,Q3,2022-Q3,145362,138061,95.0,15685,10308,65.7,2.6,4.3,19,19
Youth & Volunteerism,Mozambique,Southern Africa,2022,Q4,2022-Q4,59320,48284,81.4,11987,8090,67.5,3.6,4.8,18,20
Youth & Volunteerism,Mozambique,Southern Africa,2023,Q1,2023-Q1,280845,187366,66.7,8383,4624,55.2,3.0,4.5,25,0
Youth & Volunteerism,Mozambique,Southern Africa,2023,Q2,2023-Q2,94775,64615,68.2,22286,19044,85.5,4.2,3.7,17,2
Youth & Volunteerism,Mozambique,Southern Africa,2023,Q3,2023-Q3,281573,226590,80.5,8167,8379,102.6,4.0,3.6,14,10
Youth & Volunteerism,Mozambique,Southern Africa,2023,Q4,2023-Q4,108980,82723,75.9,21372,18169,85.0,4.2,4.8,5,2
Youth & Volunteerism,Mozambique,Southern Africa,2024,Q1,2024-Q1,166862,102858,61.6,39782,32560,81.8,3.1,3.5,11,11
Youth & Volunteerism,Mozambique,Southern Africa,2024,Q2,2024-Q2,66781,45979,68.9,6661,5147,77.3,3.0,3.3,5,14
Youth & Volunteerism,Mozambique,Southern Africa,2024,Q3,2024-Q3,155236,151134,97.4,33015,26297,79.7,3.1,4.9,8,14
Youth & Volunteerism,Mozambique,Southern Africa,2024,Q4,2024-Q4,360940,325670,90.2,11204,8802,78.6,4.5,3.2,3,18
Youth & Volunteerism,Mozambique,Southern Africa,2025,Q1,2025-Q1,275988,257917,93.5,4594,2848,62.0,3.9,4.6,11,9
Youth & Volunteerism,Mozambique,Southern Africa,2025,Q2,2025-Q2,230207,209824,91.1,28806,21920,76.1,4.7,4.9,19,4
Youth & Volunteerism,Mozambique,Southern Africa,2025,Q3,2025-Q3,251120,174590,69.5,26034,21107,81.1,4.7,3.3,16,19
Youth & Volunteerism,Mozambique,Southern Africa,2025,Q4,2025-Q4,184440,174220,94.5,26489,22352,84.4,3.3,3.7,2,13
Youth & Volunteerism,Zimbabwe,Southern Africa,2021,Q1,2021-Q1,285259,175620,61.6,31497,30246,96.0,2.6,3.8,8,1
Youth & Volunteerism,Zimbabwe,Southern Africa,2021,Q2,2021-Q2,345380,211565,61.3,44196,35393,80.1,3.4,3.3,1,7
Youth & Volunteerism,Zimbabwe,Southern Africa,2021,Q3,2021-Q3,386868,271150,70.1,38752,31936,82.4,3.2,4.2,0,4
Youth & Volunteerism,Zimbabwe,Southern Africa,2021,Q4,2021-Q4,467249,306909,65.7,8900,8924,100.3,3.1,4.1,9,12
Youth & Volunteerism,Zimbabwe,Southern Africa,2022,Q1,2022-Q1,102945,71547,69.5,39364,32892,83.6,4.4,4.9,12,2
Youth & Volunteerism,Zimbabwe,Southern Africa,2022,Q2,2022-Q2,136943,88509,64.6,27442,31652,115.3,3.3,3.6,14,2
Youth & Volunteerism,Zimbabwe,Southern Africa,2022,Q3,2022-Q3,202943,134038,66.0,32531,30531,93.9,3.7,4.1,14,20
Youth & Volunteerism,Zimbabwe,Southern Africa,2022,Q4,2022-Q4,300554,187490,62.4,32464,31026,95.6,3.9,4.6,3,2
Youth & Volunteerism,Zimbabwe,Southern Africa,2023,Q1,2023-Q1,114515,94993,83.0,49957,48923,97.9,3.4,4.1,3,12
Youth & Volunteerism,Zimbabwe,Southern Africa,2023,Q2,2023-Q2,422766,336110,79.5,30384,20322,66.9,3.5,4.4,6,12
Youth & Volunteerism,Zimbabwe,Southern Africa,2023,Q3,2023-Q3,192344,183409,95.4,6225,7070,113.6,4.6,3.9,10,10
Youth & Volunteerism,Zimbabwe,Southern Africa,2023,Q4,2023-Q4,336863,314626,93.4,33869,29344,86.6,2.9,3.3,6,15
Youth & Volunteerism,Zimbabwe,Southern Africa,2024,Q1,2024-Q1,79939,68986,86.3,20243,18383,90.8,3.3,5.0,14,1
Youth & Volunteerism,Zimbabwe,Southern Africa,2024,Q2,2024-Q2,305779,222569,72.8,12206,14375,117.8,4.4,4.1,15,4
Youth & Volunteerism,Zimbabwe,Southern Africa,2024,Q3,2024-Q3,355657,299962,84.3,15989,14608,91.4,3.9,4.9,10,18
Youth & Volunteerism,Zimbabwe,Southern Africa,2024,Q4,2024-Q4,36422,21963,60.3,41392,34579,83.5,3.9,4.4,24,12
Youth & Volunteerism,Zimbabwe,Southern Africa,2025,Q1,2025-Q1,52715,47339,89.8,25690,21260,82.8,2.7,4.0,25,13
Youth & Volunteerism,Zimbabwe,Southern Africa,2025,Q2,2025-Q2,268202,201683,75.2,15986,9945,62.2,2.6,3.7,1,6
Youth & Volunteerism,Zimbabwe,Southern Africa,2025,Q3,2025-Q3,475092,359442,75.7,3503,3130,89.4,4.5,5.0,24,13
Youth & Volunteerism,Zimbabwe,Southern Africa,2025,Q4,2025-Q4,161478,159430,98.7,18519,15815,85.4,3.7,4.4,20,5
Youth & Volunteerism,Zambia,Southern Africa,2021,Q1,2021-Q1,63825,41114,64.4,11288,11859,105.1,3.8,4.4,2,8
